package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
component-modal-0.1.6,NPM,5.091014560123803,4.852233265549446,0,0,0,0,0
components-1.0.0-alpha.40,NPM,5.079166802163436,4.772438198210057,0,0,0,0,0
compreface-sdk-1.3.0,NPM,7.964287078322199,5.033236987745911,0,0,0,0,0
compress-ali-0.0.5,NPM,5.145139123848541,4.906685424637411,0,0,0,0,0
connect-wallet-1.0.5-beta.32,NPM,5.326564577383301,4.712394740782512,0,0,0,0,0
context-manager-0.1.0,NPM,4.931379385198567,4.795607849985133,0,0,0,0,0
cooegamess-0.0.1-security.0,NPM,4.552704444591699,4.492158826306381,0,0,0,0,0
cordova-plugin-custom-statusbar-1.0.4,NPM,5.118150540195033,4.807667141552374,0,0,0,0,0
cordova-plugin-photo-library-asb-2.1.2,NPM,7.976907275758743,5.643500556287756,0,0,0,0,0
cordova-plugin-photo-library-evp-2.1.2,NPM,7.976907275758743,5.6687377512692985,0,0,0,0,0
cordova-plugin-photo-library-fix-2.3.8,NPM,7.976907275758743,5.736352188979308,0,0,0,0,0
cordova-plugin-video-player-eypscap-1.0.2,NPM,5.169353129669743,4.899054360916643,0,0,0,0,0
core-0.1.0,NPM,5.129482592311295,4.777380683629157,0,0,0,0,0
core-0.5.2,NPM,5.201041370310982,4.619149429454116,0,0,0,0,0
core-1.1.0,NPM,5.143545784849568,4.843444420530418,0,0,0,0,0
core-1.2.1,NPM,5.030085246389797,4.515570492803761,0,0,0,0,0
correios-0.0.4,NPM,5.157684916706824,4.909050710487634,0,0,0,0,0
cosdata-sdk-0.1.0,NPM,5.131778628603673,4.386009462681639,0,0,0,0,0
cost-css-0.0.1,NPM,5.103510949224535,4.761729883104276,0,0,0,0,0
create-ceramic-app-2.0.0,NPM,5.094741771088338,4.605729861660998,0,0,0,0,0
creating-0.0.3,NPM,5.213207089409505,4.651798415001386,0,0,0,0,0
css-9.0.0-alpha.8,NPM,5.1013047582147335,4.729354800779508,0,0,0,0,0
css-to-webgl-0.1.86,NPM,5.455182324280234,4.658923386492573,0,0,0,0,0
cssc-0.0.1,NPM,5.117830710959743,4.613435869113313,0,0,0,0,0
cubic-0.0.4,NPM,5.159347788918927,4.847179968415479,0,0,0,0,0
cubicbezier-0.1.2,NPM,5.230265320169834,4.767053884652275,0,0,0,0,0
curve-interpolator-3.3.1,NPM,5.551563764687813,4.470593369248129,0,0,0,0,0
custom-textarea-0.2.2,NPM,5.127198593450006,4.770264788069695,0,0,0,0,0
